[kW],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,43.56530296804764,0.0,0.0,0.0,10.743779127597856,21.55763154053964,37.17195825965039,42.20897020112293,43.56530296804764,33.95227982891685,20.06850828599748,0.0,0.0
1058x1060,4679.934187967559,648.4284651693863,747.577328258906,917.5585306824864,1919.4746291332544,3076.8062993861336,3931.489369434215,4291.409912014213,4679.934187967559,3464.627204846692,2209.260341451206,1931.560878767648,910.2786460821384
1065,266.76175844967764,54.98188527910035,63.44548380460134,81.38025908652102,132.54284258978672,178.80791596598266,230.85176408250305,249.9034330927611,266.76175844967764,199.6461460279203,193.45824411762464,143.99430035444013,64.6725722434764
1345,103.66157094282713,0.0,0.0,0.0,12.658617372899489,62.7095824265227,83.49974883811987,103.66157094282713,103.16305710606416,84.227444227116,34.37019913004793,0.0,0.0
1349,151.98810600496697,0.0,0.0,0.8470309852286335,39.17451266682336,112.16678555581802,124.82364450248554,151.98810600496697,150.50839033076585,124.55431221795575,62.22249836026754,2.582026187655731,0.078880949268817
1359,408.7725540144578,35.37689814784965,38.84275625105872,44.97057859842879,177.79594166948505,242.50602700591008,347.76102518593893,381.2912827191834,408.7725540144578,308.9847960606563,194.56370807545525,84.80303574704688,34.26703812443914
1380,841.796736478142,45.76655953943301,84.89506005318654,235.00633912656625,472.5741191310327,616.4075234852477,739.8080150239938,808.3895687811352,841.796736478142,629.5869280938484,409.56384581884345,299.90545528292785,101.39290803254964
1500,2746.5240309459573,517.774465423772,520.5820859741476,654.8320673641367,1414.2465348745743,2141.1858005909485,2406.74919156354,2662.799496621184,2746.5240309459573,2123.035911166652,1514.72300976923,1003.62763331655,475.9708124691177
1560,326.6423261400024,6.717803655299223,11.259408313018625,63.11431353091402,146.4396851010304,307.6308078620409,299.48929440802874,326.6423261400024,319.59689837058363,286.294357034379,226.25523791213848,55.34529336704041,0.6341324599034859
1569,100.43778951755232,0.0,0.0,7.488082266212837,40.091238875756055,65.38678636469409,88.07751846201009,98.06831016997536,100.43778951755232,76.76790708006877,45.405202948763566,36.128918433054665,3.801072757229916
1631,267.1966758710511,22.248517207079896,25.798457391280905,62.74123409869812,131.66919782353725,177.85484894825598,225.7001613649139,250.6337661211052,267.1966758710511,184.3967806732545,116.7530542398294,81.62966254042183,22.3950234193067
1657,264.3831938999022,12.98521573838369,18.59905009814949,57.52310425533287,126.23155777221464,174.08976531457367,224.51556822664477,247.1098799522412,264.3831938999022,179.61180982503075,111.52730454945896,79.10163176092907,15.30478508807664
1676,127.80447003671009,0.0,0.0,0.0,13.445923411159326,50.90204334989576,93.61656109270952,118.15598530190128,127.80447003671009,75.96811621556196,30.49814456725424,0.0,0.0
1690,264.1648559760995,6.640081215846235,20.56256744297277,65.70066544710039,134.97621142379185,179.29324160600586,222.59214299991032,249.5022188408337,264.1648559760995,182.3701944409113,112.00178656105167,78.66788662371027,12.556247659095078
1691,284.66781276980856,11.822749463533464,23.50523512796361,74.84243035606373,149.04215592434312,198.13536482362107,240.3044773634861,269.4090691419056,284.66781276980856,196.9326012809549,121.24554019146916,80.93156732633051,17.40091707789418
1692,199.19833348084575,17.488984925011916,21.085171719113685,49.10991394848163,93.73672021856066,135.25755962090676,172.4262940991319,185.2264647837048,199.19833348084575,132.68967118015604,86.31205852511414,62.52963680878463,18.798045333400545
1800,380.9923502597489,13.747053903383858,25.47001267825313,84.23740864243048,185.38355086042728,249.7659827756289,319.4474321408664,360.4773775534547,380.9923502597489,265.3831522838147,160.65040669468036,119.79073555555426,26.968396977616997
all,10547.404533574514,1327.1038514809757,1421.9531250457928,1974.8450386883078,4463.711650921913,6603.015847523345,8917.38268805929,9946.078152667737,10547.404533574514,7535.860172290603,4970.378518830693,3483.0936109927434,1190.0829889260176
