[kW],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,24.030031880881,13.1328,13.1328,13.1328,13.1328,13.638431559272878,22.21617306791445,24.030031880881,19.276744043792625,13.638431559272878,13.638431559272878,13.1328,13.1328
1058x1060,1963.338022366158,623.9974170377897,623.9974170377897,623.9974170377897,623.9974170377897,623.9974170377897,698.4460574787618,1963.338022366158,649.3382057750702,623.9974170377897,623.9974170377897,623.9974170377897,623.9974170377897
1065,96.49731019905872,47.59959516123632,47.59959516123632,47.59959516123632,47.59959516123632,47.59959516123632,59.1529950601186,96.49731019905872,54.80078538116673,47.59959516123632,47.59959516123632,47.59959516123632,47.59959516123632
1345,31.115371111369537,3.01,3.01,3.01,3.01,4.326941555567546,8.085378917805738,31.115371111369537,14.373647609132057,6.441605436865859,3.01,3.01,3.01
1349,48.40428956370004,11.479546283755685,9.74313,9.74313,11.479546283755685,11.627346283755683,26.90788339163249,48.40428956370004,19.59153080788069,11.627346283755683,11.627346283755683,11.479546283755685,11.559656283755682
1359,184.8769583419656,91.3159644670672,91.3159644670672,91.3159644670672,91.3159644670672,97.7586278122392,163.41302045766412,184.8769583419656,130.99235759152165,92.31680029959344,91.3159644670672,91.3159644670672,91.3159644670672
1380,303.9295913861874,136.02497243231912,136.02497243231912,136.02497243231912,136.02497243231912,139.71329200241345,269.8646158253749,303.9295913861874,183.7437292368097,150.95789309851236,136.02497243231912,136.02497243231912,136.02497243231912
1500,1192.2647282302871,488.50606418988536,488.50606418988536,488.50606418988536,488.50606418988536,527.6913752681637,745.2612238094839,1192.2647282302871,737.1173880368465,488.50606418988536,488.50606418988536,488.50606418988536,488.50606418988536
1560,108.10171579171616,24.69949310073563,24.69949310073563,24.700193100735632,24.700193100735632,31.697555935241542,99.83506043571258,108.10171579171616,66.0127137073509,24.700193100735632,24.700193100735632,24.69949310073563,24.700193100735632
1569,49.70604945100734,25.21384824652674,25.21384824652674,25.21384824652674,25.21384824652674,25.21384824652674,36.19672799225495,49.70604945100734,34.33403274364177,27.65303245014824,25.21384824652674,25.21384824652674,25.21384824652674
1631,85.600801090531,36.025314050600635,36.025314050600635,36.025314050600635,36.025314050600635,36.025314050600635,67.9329837224357,85.600801090531,45.80896997195357,36.025314050600635,36.025314050600635,36.025314050600635,36.025314050600635
1657,85.38180935445658,36.01515283404679,36.01515283404679,36.01515283404679,36.01515283404679,36.01515283404679,64.61037237975751,85.38180935445658,43.81451732271599,36.01515283404679,36.01515283404679,36.01515283404679,36.01515283404679
1676,39.83662990549308,6.5711770000000005,6.5711770000000005,6.5711770000000005,6.5711770000000005,8.134494263518867,8.134494263518867,39.83662990549308,8.134494263518867,8.134494263518867,8.134494263518867,6.5711770000000005,6.5711770000000005
1690,86.5410600318989,36.88660390548011,36.88660390548011,36.88660390548011,36.88660390548011,36.88660390548011,73.76462983782882,86.5410600318989,45.20334455163932,36.88660390548011,36.88660390548011,36.88660390548011,36.88660390548011
1691,92.39241789856698,37.99554454249351,37.99554454249351,37.99554454249351,37.99554454249351,37.99554454249351,87.2616896229573,92.39241789856698,49.09462945049432,37.99554454249351,37.99554454249351,37.99554454249351,37.99554454249351
1692,64.3766381788378,26.50531082749807,26.50531082749807,26.50531082749807,26.50531082749807,26.50531082749807,46.46224811977381,64.3766381788378,30.800701128483997,26.50531082749807,26.50531082749807,26.50531082749807,26.50531082749807
1800,135.53753717290013,69.80374041282256,69.80374041282256,69.80374041282256,69.80374041282256,69.80374041282256,106.78419588341282,135.53753717290013,77.71892460978222,69.80374041282256,69.80374041282256,69.80374041282256,69.80374041282256
all,3141.1737288222535,1485.296706700003,1484.9078071729448,1501.5027499619746,1501.5027499619746,1509.402887294067,1850.2735416362843,3141.1737288222535,1785.282800771854,1505.1229160515302,1505.1229160515302,1494.1219988612393,1502.7330682085014
