[MWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,40014.36551585486,0.0,0.0,0.0,81.67774963644538,1429.124781442273,7380.977811005521,12772.630312571986,11496.68710153329,6386.007077079442,467.26068258589476,0.0,0.0
1058x1060,9316772.084514655,9670.7431871241,34784.34851187319,78783.39063849043,397676.7005300483,918979.8377382888,1589643.6314784086,2187860.8627659692,1906375.089313399,1437552.5549640078,479674.47656047146,251878.88599009064,23891.56283648219
1065,591646.6047104722,809.6367150018962,2924.7483926518885,6625.345425249008,30578.43684113967,62669.49910935711,98613.7766833854,126838.22332130375,114907.30160116432,90061.27448974867,36028.460002543856,19665.396161707224,1924.5059672194182
1345,51168.181277332544,0.0,0.0,0.0,65.99739987374501,2354.563863403106,9672.791443029042,18316.78391168949,14204.977779353849,6314.77243033848,238.29444964482724,0.0,0.0
1349,69317.14778491047,0.0,0.0,3.2563700748679274,724.4578760204,4760.407232465706,13567.390621492308,19947.491582706698,18264.272500968604,10114.287979515508,1909.36199724396,26.14274347316143,0.078880949268817
1359,532038.8112250986,3236.3389085213926,4669.033850959309,8555.412631537609,23702.430211286635,50366.78195104424,89805.70503806701,120181.67883986072,110586.09049681989,75646.61854635592,28111.959013194646,13181.159170896171,3995.602566554968
1380,1161813.3904740778,2072.621362768607,4482.061636649354,16597.255028073276,61582.30847895545,129002.08384645187,196660.52136751637,259040.31455900724,229135.33375809097,169016.60975715547,68784.0818406737,23419.515137119146,2020.6837016161694
1500,2915759.2446076395,38869.433877605334,57351.14652995099,92304.8985358757,184685.37886172382,305386.7151484317,452748.7044794736,555959.5145805771,531723.8878100619,347720.5637983414,195224.57037251088,107573.529905848,46210.90070723904
1560,228172.48188146917,22.962614099882128,103.46353815286702,1856.398140229803,12903.939155521664,29849.531789708635,41899.135455089505,51453.733121306206,47139.59185051502,29132.422633641858,12563.040957263796,1242.9959849267705,5.266641013181749
1569,131527.16016215037,0.0,0.0,52.35923065335499,4007.225024632621,12169.87340503414,24363.56912461439,33565.798773908005,29800.102671576977,20499.26627320903,5257.946720857456,1797.6571197798917,13.361817884484292
1631,309788.5739469225,2428.4895069900376,2849.746697628645,6754.309544884123,16760.688713424002,33094.840018381416,49258.0428657424,64661.81662427883,58910.72944795382,43916.40447847716,20876.89996195938,7967.290665863262,2309.31542133944
1657,292396.60810875683,1181.052992434078,1630.7082679003397,4690.292946424856,15025.803721826349,32013.40269836367,48744.92796606941,64306.54963949332,57685.42959232061,41780.5069044606,18137.13132982156,5988.333307875229,1212.468741766902
1676,33799.13856457322,0.0,0.0,0.0,36.35550044517491,1447.1281558622122,6807.851844970111,10871.319411677476,9784.430601071115,4566.3548000053925,285.6982505417418,0.0,0.0
1690,287998.1407277951,356.6079534204614,755.5393944917885,4222.7060851043125,16322.300762101931,34147.69032179786,49877.57159285868,63781.40859905597,56528.03985297213,40103.539237229874,16848.62747886811,4658.039116660444,396.07033323349384
1691,306795.1937411514,442.70610387844357,1053.4355617439132,5276.153929643022,18073.215613242355,36612.394302464556,52809.933842143735,66879.85453125925,59322.872189961614,42311.87914805421,18282.306945900844,5250.441617787302,479.9999550722098
1692,216914.63530621238,1009.155776491717,1323.743511618215,3659.6124563456037,11102.480229902507,23262.934696738885,35219.060777658146,46601.76199290651,42171.75592633601,31374.453765406015,15026.584009223532,5272.976748479401,890.1154151058191
1800,422265.8725370751,1017.9288394504099,1728.0707593646455,6140.468056722142,21791.624271205594,46669.90861165802,70724.15046032668,92747.6007153278,83365.35976521493,60761.77521334106,26854.684078212456,9189.932657843665,1274.3691084075633
all,16908187.635086145,61117.67783778635,113656.04665298513,235521.85901930812,815121.0209409867,1724216.7176708942,2837797.742851851,3795787.3432829,3381401.9522593142,2457259.291496368,944571.3846515181,457112.2963283503,84624.30209388414
