building,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,59958.15100016353,14754.984710483914,11755.993745277892,10787.40542744118,4270.405962002755,462.74609028580875,0.0,0.0,0.0,5.256697992053086,935.9631662457191,7194.907459888832,9790.487740545383
1058x1060,6430460.493760225,1151956.328605316,907139.4053940312,935422.5284293562,493711.84669336746,256235.418690078,110033.50543441629,91534.74908136883,116076.18264421588,196075.2369039741,390708.8002199206,852692.80147192,928873.6901922605
1065,450510.01559724065,66767.88873382175,56255.37802940206,53159.06071611322,39052.64399312807,27291.406260349075,15632.633334134392,14867.39467466477,16885.178043586697,22739.9367669927,32478.473530703006,49839.4246136298,55540.59690071515
1345,152573.0497571379,35267.91684021357,27664.128400869602,25626.7400207846,10574.03242039751,2251.254627152094,43.74892398968156,0.0,0.0,407.7513069502969,5080.914224384565,20393.83109202372,25262.73190037226
1349,100054.40868252261,24630.185474695958,18775.67467854503,16413.332890014542,6532.415398216135,707.7249838957465,0.1030897893463988,0.0,0.0183196947840974,81.73735032129377,2159.922810539538,14204.433650797653,16548.86003601257
1359,270209.79873528716,64205.49451795676,51816.0939175304,41615.37442374907,16726.882742271573,4095.8335954892855,503.4523880190215,217.5057074822795,339.7678726911131,1573.7522595015098,8608.555435433227,34924.77384656911,45582.31202859377
1380,499700.3154985929,124316.30115012798,91573.29884861181,73415.19977922959,26853.857034378994,7063.26727794447,446.68327988694494,0.0,196.8127199864484,2198.9121710057784,18289.319307871712,68561.37803145355,86785.2858980957
1500,994013.9323354596,238903.79978265852,193281.59889389132,143052.82328942933,49998.02690310368,10422.761285518012,75.21863398416596,37.87853049492079,628.9099479886828,5535.594957460739,30796.623801392205,144280.48204283995,177000.21426669817
1560,113683.09599157948,32016.90566981093,24912.47066309081,13372.110026780832,1893.8771998937914,22.530158768304485,0.0,0.0,0.0987341675698139,1.908296313576633,1456.0615396428402,16506.288272586546,23500.84543052429
1569,35612.26255530983,11625.202110580392,8430.79207723477,5017.044809389527,557.6206236434475,31.7203914725706,0.0,0.0,0.0,0.0,220.35783973820548,3730.5717962499803,5998.952907000939
1631,171571.35124770892,42051.57896098697,32869.14360070595,25427.437819996943,9275.723814970186,2205.4399039664822,89.76023392344163,0.0,62.055821826875906,699.9436924664917,5578.31231581218,23302.87848134691,30009.076601706496
1657,174709.05843611434,43066.47636235538,33518.135771489,25800.513237139607,9357.150296145355,2205.0266253690497,88.42168752062489,0.0,62.50349909235901,702.7957785285607,5624.989223408639,23707.001262491416,30576.044692574345
1676,144518.1191257574,36932.36908663239,28414.50544848368,24985.15162030185,7249.878017972289,287.7399357939969,0.0,0.0,0.0,2.667172116518012,1393.9774810075312,19638.93984482475,25612.890518624372
1690,134488.7564767205,34145.528879483914,26094.230827078714,18789.292554999178,6383.169419385242,1470.9974646014148,61.55812927187674,0.0,45.81109528853137,537.3128531403441,4274.7447182415035,18561.05944008192,24125.051095147857
1691,140253.72084369295,35509.89275296866,27088.25618204049,19448.657884050546,6633.720422309505,1595.8716466401456,81.2355496488716,0.8947917466506373,75.13484728947387,631.6514397114775,4595.06841415158,19437.69993712454,25155.636976010966
1692,136485.6212608268,32758.459264209992,25263.55277476729,20035.83815173284,7748.767237040545,2053.9194782339073,126.87026940848303,0.2306759214593062,132.5461611269402,856.7649712878303,5197.463910414631,18762.742923155016,23548.46544352785
1800,173548.22943101727,45095.44946045622,34992.26767725377,25318.84357325985,7898.443028921422,1583.9958320697087,43.872007993805646,0.0,16.232348155498805,456.8912311298885,4694.434783751673,22808.288354411983,30639.511133613436
all,10182350.380735356,2034004.7623627593,1599844.9269303037,1477687.354653769,704718.4612071479,319987.65424762806,127227.06296198693,106658.65346167891,134521.25205511085,232508.1138488932,522093.9827226593,1358547.5025213957,1564550.653762024
