C:\Users\vdee\Documents\eQUEST 3-65 Projects\1060 Malcolm Grow MC\1060 Malcolm Grow MC - 2
Simulated:  2024-Apr-14 19:17:40
CSV Written:  2024-Apr-14 19:17:41
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,181.8,0,94.7713,2.71954,77.3273,0,113.469,64.8975,0,0,0,0,534.984,0,0,0,4.57375e+006,0,0,0,0,0,0,1.62355e+006,0,6.1973e+006,0,-3.87078e+006,-1.12273e+006,
1,1,2,8,166.208,0,94.2863,2.50267,48.4497,0,113.469,64.8975,0,0,0,0,489.813,0,0,0,4.33222e+006,0,0,0,0,0,0,1.61765e+006,0,5.94986e+006,0,-3.77682e+006,-1.11847e+006,
1,1,3,8,160.814,0,94.2863,2.91671,48.3151,0,113.469,64.8975,0,0,0,0,484.698,0,0,0,5.27254e+006,0,0,0,0,0,0,1.6175e+006,0,6.89004e+006,0,-4.46041e+006,-1.11841e+006,
1,1,4,8,166.916,0,94.287,2.86185,48.3246,0,113.469,64.8975,0,0,0,0,490.756,0,0,0,5.16785e+006,0,0,0,0,0,0,1.61749e+006,0,6.78534e+006,0,-4.53635e+006,-1.11831e+006,
1,1,5,8,201.151,0,95.7447,2.88186,48.3247,0,113.469,64.8975,0,0,0,0,526.468,0,0,0,5.20644e+006,0,0,0,0,0,0,1.61777e+006,0,6.82421e+006,0,-4.57058e+006,-1.11831e+006,
1,1,6,8,219.642,0,103.326,3.21599,48.2967,0,113.469,64.8975,0,0,0,0,552.847,0,0,0,5.77593e+006,0,0,0,0,0,0,1.71047e+006,0,7.4864e+006,0,-5.0927e+006,-1.18597e+006,
1,1,7,8,235.133,0,106.615,3.05537,48.3146,0,113.469,64.8975,0,0,0,0,571.485,0,0,0,5.51796e+006,0,0,0,0,0,0,2.1783e+006,0,7.69626e+006,0,-4.84826e+006,-1.52758e+006,
1,1,8,8,244.564,0,109.464,3.24299,48.2967,0,113.469,64.8975,0,0,0,0,583.934,0,0,0,5.81692e+006,0,0,0,0,0,0,2.30206e+006,0,8.11898e+006,0,-5.12656e+006,-1.6178e+006,
1,1,9,8,249.048,0,111.695,2.28762,48.3851,0,113.469,64.8975,0,0,0,0,589.782,0,0,0,4.0594e+006,0,0,0,0,0,0,2.33802e+006,0,6.39742e+006,0,-3.39523e+006,-1.64409e+006,
1,1,10,8,250.802,0,112.785,1.9291,128.54,3.77254,113.469,64.8975,0,0,0,0,676.195,0,0,0,3.48709e+006,0,0,0,0,0,0,2.34282e+006,0,5.82992e+006,1.29478e+006,-3.0274e+006,-1.64754e+006,
1,1,11,8,250.766,0,112.645,1.71953,138.242,5.03819,113.469,64.8975,0,0,0,0,686.776,0,0,0,3.02895e+006,0,0,0,0,0,0,2.29848e+006,0,5.32743e+006,1.5458e+006,-2.62467e+006,-1.61563e+006,
1,1,12,8,250.685,0,111.399,1.61923,167.952,9.33211,113.469,64.8975,0,0,0,0,719.354,0,0,0,2.74784e+006,0,0,0,0,0,0,2.24076e+006,0,4.9886e+006,2.46007e+006,-2.38072e+006,-1.5736e+006,
1,1,13,8,250.605,0,110.236,1.55404,182.973,11.2632,113.469,64.8975,0,0,0,0,734.997,0,0,0,2.47362e+006,0,0,0,0,0,0,2.19769e+006,0,4.67131e+006,2.85261e+006,-2.13483e+006,-1.54227e+006,
1,1,14,8,250.525,0,111.466,1.3412,194.105,13.1194,113.469,64.8975,0,0,0,0,748.922,0,0,0,2.26723e+006,0,0,0,0,0,0,2.24158e+006,0,4.50881e+006,3.13761e+006,-1.95805e+006,-1.57441e+006,
1,1,15,8,250.363,0,112.709,1.26699,181.412,11.0735,113.469,64.8975,0,0,0,0,735.19,0,0,0,2.1845e+006,0,0,0,0,0,0,2.29805e+006,0,4.48255e+006,2.77716e+006,-1.88829e+006,-1.61574e+006,
1,1,16,8,249.586,0,113.358,1.32212,165.216,8.96108,113.469,64.8975,0,0,0,0,716.809,0,0,0,2.2466e+006,0,0,0,0,0,0,2.34116e+006,0,4.58776e+006,2.32122e+006,-1.94348e+006,-1.64728e+006,
1,1,17,8,246.29,0,113.181,1.59956,147.962,6.4684,113.469,64.8975,0,0,0,0,693.868,0,0,0,2.51314e+006,0,0,0,0,0,0,2.35688e+006,0,4.87002e+006,1.81236e+006,-2.17543e+006,-1.65879e+006,
1,1,18,8,241.18,0,112.828,1.69322,126.351,3.25038,113.469,64.8975,0,0,0,0,663.669,0,0,0,2.9603e+006,0,0,0,0,0,0,2.34117e+006,0,5.30147e+006,1.11741e+006,-2.45709e+006,-1.64732e+006,
1,1,19,8,236.109,0,110.683,1.95282,51.3425,0,113.469,64.8975,0,0,0,0,578.453,0,0,0,3.53149e+006,0,0,0,0,0,0,2.31626e+006,0,5.84775e+006,0,-3.0801e+006,-1.62909e+006,
1,1,20,8,229.923,0,108.941,2.4134,48.3614,0,113.469,64.8975,0,0,0,0,568.005,0,0,0,4.22363e+006,0,0,0,0,0,0,2.23257e+006,0,6.4562e+006,0,-3.69044e+006,-1.5679e+006,
1,1,21,8,222.604,0,108.131,2.84378,48.3148,0,113.469,64.8975,0,0,0,0,560.26,0,0,0,4.70031e+006,0,0,0,0,0,0,2.11363e+006,0,6.81394e+006,0,-4.11018e+006,-1.48089e+006,
1,1,22,8,216.188,0,106.796,2.93445,48.3054,0,113.469,64.8975,0,0,0,0,552.59,0,0,0,5.30537e+006,0,0,0,0,0,0,1.89242e+006,0,7.19779e+006,0,-4.48575e+006,-1.31918e+006,
1,1,23,8,209.067,0,103.774,2.80919,48.3585,0,113.469,64.8975,0,0,0,0,542.374,0,0,0,4.66584e+006,0,0,0,0,0,0,1.79208e+006,0,6.45791e+006,0,-3.97802e+006,-1.24577e+006,
1,1,24,8,196.205,0,98.1574,2.5059,48.3587,0,113.469,64.8975,0,0,0,0,523.593,0,0,0,4.33604e+006,0,0,0,0,0,0,1.67348e+006,0,6.00952e+006,0,-3.77876e+006,-1.15904e+006,
