C:\Users\vdee\Documents\eQUEST 3-65 Projects\1631 Dorm\1631 Dorms - 3
Simulated:  2024-Dec-12 16:49:08
CSV Written:  2024-Dec-12 16:49:08
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,5.89064,3.50656,3.08151,0.406545,5.8237,0,1.41102,1.39046,0,0,0,0,21.5104,0,0,0,322866,0,0,0,0,0,0,70103.8,0,392970,2839.88,-267169,-47583.9,
1,1,2,8,5.89064,3.50656,3.07671,0.400007,2.88767,0,1.39896,1.49263,0,0,0,0,18.6532,0,0,0,274404,0,0,0,0,0,0,49258.3,0,323663,2648.86,-259879,-32357.1,
1,1,3,8,3.95451,3.34625,2.09478,0.402025,2.85411,0,1.40036,1.55617,0,0,0,0,15.6082,0,0,0,289233,0,0,0,0,0,0,26657,0,315890,2194.71,-273974,-15861.3,
1,1,4,8,3.95451,3.34625,2.09478,0.403264,2.83464,0,1.40142,1.59331,0,0,0,0,15.6282,0,0,0,298348,0,0,0,0,0,0,26659.8,0,325007,2048.76,-282605,-15861.3,
1,1,5,8,3.95451,3.34625,2.09478,0.404485,2.82398,0,1.40259,1.63145,0,0,0,0,15.658,0,0,0,307333,0,0,0,0,0,0,49251.6,0,356584,1933.68,-291338,-32357.1,
1,1,6,8,3.95451,3.34625,2.09478,0.405472,2.81541,0,1.40342,1.66076,0,0,0,0,15.6806,0,0,0,314579,0,0,0,0,0,0,92695.2,0,407274,1840.46,-298382,-64079.7,
1,1,7,8,5.89064,3.50656,3.07383,0.404968,2.83114,0,1.40297,1.64453,0,0,0,0,18.7546,0,0,0,310873,0,0,0,0,0,0,92701.8,0,403575,2115.84,-294375,-64079.7,
1,1,8,8,9.19344,3.63482,3.99545,0.276149,2.86753,0,1.3751,0.46489,0,0,0,0,21.8074,0,0,0,101418,0,0,0,0,0,0,136146,0,237563,2585,-79067,-95802.3,
1,1,9,8,10.4462,2.76911,4.00649,0.2444,2.73112,0,1.36464,0.390426,0,0,0,0,21.9524,0,0,0,89702.3,0,0,0,0,0,0,200474,0,290176,312.232,-75316.8,-142752,
1,1,10,8,8.51011,2.60879,3.09879,0.254385,2.67737,0,1.35933,0.413295,0,0,0,0,18.9221,0,0,0,93627.3,0,0,0,0,0,0,157119,0,250747,258.383,-80092.3,-111029,
1,1,11,8,8.51011,2.60879,3.11079,0.229344,2.69271,0,1.35895,0.357106,0,0,0,0,18.8678,0,0,0,84164.8,0,0,0,0,0,0,113666,0,197830,514.43,-67621.5,-79306.5,
1,1,12,8,8.51011,1.74308,3.11559,0.216884,3.49383,0,1.35745,0.475462,0,0,0,0,18.9124,0,0,0,79507.1,0,0,0,0,0,0,113685,0,193192,12833.4,-63017.3,-79306.5,
1,1,13,8,7.25732,1.74308,3.11895,0.203802,4.64986,0,1.36581,0.596008,0,0,0,0,18.9348,0,0,0,74455,0,0,0,0,0,0,113669,0,188124,26523.4,-56544.1,-79306.5,
1,1,14,8,3.95451,1.16594,2.14279,0.20374,5.30928,0,1.34963,0.66612,0,0,0,0,14.792,0,0,0,74742,0,0,0,0,0,0,92774.3,0,167516,32052.2,-59171.3,-64079.7,
1,1,15,8,3.95451,1.16594,2.14279,0.20561,5.20023,0,1.35263,0.617471,0,0,0,0,14.6392,0,0,0,75373.3,0,0,0,0,0,0,70158.9,0,145532,28466.8,-58183,-47583.9,
1,1,16,8,3.95451,1.16594,2.14279,0.221265,4.20176,0,1.34381,0.506814,0,0,0,0,13.5369,0,0,0,81584.2,0,0,0,0,0,0,70129.1,0,151713,14222.4,-67318.8,-47583.9,
1,1,17,8,3.95451,1.61483,2.13943,0.264384,3.09995,0,1.35697,0.457316,0,0,0,0,12.8874,0,0,0,97515.1,0,0,0,0,0,0,70123.2,0,167638,2036.82,-83582.8,-47583.9,
1,1,18,8,3.95451,2.03165,2.13799,0.323255,2.73368,0,1.37338,0.571613,0,0,0,0,13.1261,0,0,0,119338,0,0,0,0,0,0,70140.1,0,189478,539.591,-108837,-47583.9,
1,1,19,8,9.649,2.48054,5.00714,0.399606,3.09058,0,1.39342,1.50614,0,0,0,0,23.5264,0,0,0,271365,0,0,0,0,0,0,92723.6,0,364089,6579.11,-263650,-64079.7,
1,1,20,8,13.4074,3.63482,6.9006,0.39658,3.16524,0,1.39183,1.38833,0,0,0,0,30.2848,0,0,0,249329,0,0,0,0,0,0,136195,0,385523,5666.35,-234004,-95802.3,
1,1,21,8,15.3435,3.79513,7.87005,0.39296,3.07869,0,1.38888,1.24451,0,0,0,0,33.1137,0,0,0,223263,0,0,0,0,0,0,136134,0,359397,4638.62,-209367,-95802.3,
1,1,22,8,11.5851,4.37227,5.96698,0.393533,3.0248,0,1.39606,1.26342,0,0,0,0,28.0022,0,0,0,227333,0,0,0,0,0,0,136129,0,363462,4156.16,-213092,-95802.3,
1,1,23,8,9.649,4.21196,4.98266,0.395023,2.99413,0,1.39672,1.31955,0,0,0,0,24.949,0,0,0,238066,0,0,0,0,0,0,136129,0,374196,3846.5,-224404,-95802.3,
1,1,24,8,5.89064,3.92339,3.08151,0.397811,2.9402,0,1.39813,1.41274,0,0,0,0,19.0444,0,0,0,258333,0,0,0,0,0,0,113517,0,371850,3117.53,-244240,-79306.5,
1,2,1,2,4.02253,4.22653,2.14474,0.399637,2.90409,0,1.39949,1.4698,0,0,0,0,16.5668,0,0,0,271705,0,0,0,0,0,0,70088,0,341793,2808.01,-256760,-47583.9,
1,2,2,2,4.02253,4.22653,2.13943,0.399736,2.88722,0,1.39935,1.46372,0,0,0,0,16.5385,0,0,0,272429,0,0,0,0,0,0,49235.3,0,321664,2652.81,-257042,-32357.1,
1,2,3,2,2.05635,4.08079,1.13776,0.401657,2.85743,0,1.40085,1.52778,0,0,0,0,13.4626,0,0,0,286540,0,0,0,0,0,0,26654.2,0,313194,2244.73,-271225,-15861.3,
1,2,4,2,2.05635,4.08079,1.13776,0.402833,2.83858,0,1.40183,1.56246,0,0,0,0,13.4806,0,0,0,295195,0,0,0,0,0,0,26661.3,0,321856,2092.57,-279391,-15861.3,
