C:\Users\vdee\Documents\eQUEST 3-65 Projects\1691 Dorms\1691 Dorms - Baseline Design
Simulated:  2024-Feb-13 11:51:05
CSV Written:  2024-Feb-13 11:51:05
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,11.6821,3.71946,3.90443,0.292913,6.40911,0,0.852953,0.370209,0,0,0,0,27.2311,0,0,0,106396,0,0,0,0,0,0,57896,0,164292,3420.22,-58493.6,-39700.7,
1,1,2,8,11.6821,3.71946,3.88394,0.212177,2.81277,0,0.833447,0.442411,0,0,0,0,23.5863,0,0,0,77196.6,0,0,0,0,0,0,40501.5,0,117698,3088.17,-61531.3,-26996.5,
1,1,3,8,7.84242,3.54941,2.81641,0.276942,2.75918,0,0.835326,0.606552,0,0,0,0,18.6862,0,0,0,101184,0,0,0,0,0,0,21655.5,0,122840,2329.44,-89733.1,-13233.6,
1,1,4,8,7.84242,3.54941,2.81641,0.297602,2.72756,0,0.835735,0.649976,0,0,0,0,18.7191,0,0,0,108882,0,0,0,0,0,0,21658.1,0,130540,2074.58,-97389.5,-13233.6,
1,1,5,8,7.84242,3.54941,2.81641,0.319021,2.7145,0,0.83995,0.705604,0,0,0,0,18.7873,0,0,0,116825,0,0,0,0,0,0,40505.5,0,157330,1949.15,-106337,-26996.5,
1,1,6,8,7.84242,3.54941,2.81641,0.356269,2.69943,0,0.841297,0.795817,0,0,0,0,18.901,0,0,0,130770,0,0,0,0,0,0,76748.4,0,207518,1746.82,-122676,-53463.6,
1,1,7,8,11.6821,3.71946,3.87164,0.328974,2.71429,0,0.840969,0.721131,0,0,0,0,23.8785,0,0,0,120534,0,0,0,0,0,0,76751,0,197285,2058,-109580,-53463.6,
1,1,8,8,18.232,3.8555,4.86553,0.319803,2.75514,0,0.83702,0.70894,0,0,0,0,31.574,0,0,0,117164,0,0,0,0,0,0,112994,0,230158,2616.47,-106408,-79930.7,
1,1,9,8,20.7165,2.93723,4.91266,0.154723,5.49284,0,0.798783,0.760943,0,0,0,0,35.7737,0,0,0,56339.2,0,0,0,0,0,0,166642,0,222982,44983.1,-34646.5,-119102,
1,1,10,8,16.8769,2.76718,3.9782,0.101663,9.66481,0,0.852018,1.08723,0,0,0,0,35.328,0,0,0,36968.2,0,0,0,0,0,0,130394,0,167362,87865.3,-14502.2,-92635,
1,1,11,8,16.8769,2.76718,4.02942,0.087303,10.2508,0,0.859956,1.07574,0,0,0,0,35.9473,0,0,0,31641.8,0,0,0,0,0,0,94138.1,0,125780,93307.4,-7230.7,-66167.8,
1,1,12,8,16.8769,1.84891,4.04991,0.0741528,10.828,0,0.926577,1.04493,0,0,0,0,35.6494,0,0,0,26779,0,0,0,0,0,0,94134.4,0,120913,97757.3,-1848.62,-66167.8,
1,1,13,8,14.3924,1.84891,4.06426,0.0702612,11.7956,0,0.932345,1.1686,0,0,0,0,34.2724,0,0,0,25345.5,0,0,0,0,0,0,94129.7,0,119475,111426,-1367.07,-66167.8,
1,1,14,8,7.84242,1.23673,3.02132,0.0695569,13.6816,0,0.937867,1.35769,0,0,0,0,28.1472,0,0,0,25086.5,0,0,0,0,0,0,76729.9,0,101816,131422,-1132.94,-53463.6,
1,1,15,8,7.84242,1.23673,3.02132,0.0685833,15.7479,0,0.934739,1.67805,0,0,0,0,30.5298,0,0,0,24728.5,0,0,0,0,0,0,57881,0,82609.6,160818,-664.783,-39700.7,
1,1,16,8,7.84242,1.23673,3.02132,0,16.1363,0,0.928205,1.73645,0,0,0,0,30.9014,0,0,0,0,0,0,0,0,0,0,57878.7,0,57878.7,165183,-344.808,-39700.7,
1,1,17,8,7.84242,1.71287,3.00697,0.114427,11.8589,0,0.893656,1.1797,0,0,0,0,26.6089,0,0,0,41285.2,0,0,0,0,0,0,57876,0,99161.2,108175,-2288.17,-39700.7,
1,1,18,8,7.84242,2.155,3.00082,0.0828232,6.8175,0,0.839498,0.56689,0,0,0,0,21.305,0,0,0,29941.1,0,0,0,0,0,0,57876.7,0,87817.8,46210.8,-7442.88,-39700.7,
1,1,19,8,19.1355,2.63114,6.06011,0.0978241,4.89873,0,0.823096,0.400852,0,0,0,0,34.0472,0,0,0,35441.2,0,0,0,0,0,0,76724.6,0,112166,25708.8,-13857.6,-53463.6,
1,1,20,8,26.5889,3.8555,8.0785,0.0953675,4.52536,0,0.83804,0.3626,0,0,0,0,44.3443,0,0,0,34613.3,0,0,0,0,0,0,112978,0,147591,22679.9,-12784,-79930.7,
1,1,21,8,30.4286,4.02555,9.09275,0.0997941,4.19114,0,0.837319,0.331249,0,0,0,0,49.0064,0,0,0,36259.2,0,0,0,0,0,0,112982,0,149241,19141.9,-14256.3,-79930.7,
1,1,22,8,22.9751,4.63773,7.03338,0.137254,3.27229,0,0.805206,0.287912,0,0,0,0,39.1489,0,0,0,49763.7,0,0,0,0,0,0,112983,0,162747,8013.75,-28617.4,-79930.7,
1,1,23,8,19.1355,4.46768,5.9556,0.125001,3.33341,0,0.799662,0.277518,0,0,0,0,34.0944,0,0,0,45357.7,0,0,0,0,0,0,112986,0,158343,9478.31,-24847,-79930.7,
1,1,24,8,11.6821,4.16159,3.90443,0.175475,2.98935,0,0.82303,0.354594,0,0,0,0,24.0905,0,0,0,63731.3,0,0,0,0,0,0,94134.3,0,157866,4331.82,-45839.4,-66167.8,
1,2,1,2,7.97731,4.48314,2.90716,0.211428,2.8426,0,0.83419,0.439183,0,0,0,0,19.695,0,0,0,76915.8,0,0,0,0,0,0,57893.7,0,134809,3261.33,-61201.9,-39700.7,
1,2,2,2,7.97731,4.48314,2.8845,0.237666,2.80061,0,0.834619,0.505802,0,0,0,0,19.7236,0,0,0,86609.4,0,0,0,0,0,0,40499.3,0,127109,2944.66,-72246.4,-26996.5,
1,2,3,2,4.07806,4.32855,1.79391,0.280737,2.75699,0,0.834752,0.617558,0,0,0,0,14.6906,0,0,0,102605,0,0,0,0,0,0,21656,0,124261,2342.93,-90870.5,-13233.6,
