C:\Users\vdee\Documents\eQUEST 3-65 Projects\1800 Transient Lodging Facility\1800 Transient Lodging Facility - 3
Simulated:  2024-Apr-14 21:34:53
CSV Written:  2024-Apr-14 21:34:53
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,12.6141,5.79522,6.07884,0.274398,7.32019,0,1.00304,0.426692,0,0,0,0,33.5125,0,0,0,99622.1,0,0,0,0,0,0,90164.1,0,189786,12457.6,-50923.3,-61855.9,
1,1,2,8,12.6141,5.79522,6.04695,0.215136,3.74597,0,0.998277,0.519425,0,0,0,0,29.9351,0,0,0,78266.3,0,0,0,0,0,0,63064.4,0,141331,9798.46,-63258.9,-42062,
1,1,3,8,8.46812,5.53027,4.38483,0.285809,3.42232,0,1.02567,0.645923,0,0,0,0,23.7629,0,0,0,104199,0,0,0,0,0,0,33704.4,0,137903,5698.46,-92856.2,-20618.6,
1,1,4,8,8.46812,5.53027,4.38483,0.314513,3.30689,0,1.03245,0.710366,0,0,0,0,23.7474,0,0,0,114782,0,0,0,0,0,0,33708.4,0,148491,5315.57,-104414,-20618.6,
1,1,5,8,8.46812,5.53027,4.38483,0.349289,3.28709,0,1.03245,0.801753,0,0,0,0,23.8538,0,0,0,127710,0,0,0,0,0,0,63074.4,0,190785,5140.32,-119524,-42062,
1,1,6,8,8.46812,5.53027,4.38483,0.382027,3.25591,0,1.03469,0.905566,0,0,0,0,23.9614,0,0,0,146585,0,0,0,0,0,0,119544,0,266128,4717.53,-139524,-83299.2,
1,1,7,8,12.6141,5.79522,6.02781,0.371082,3.29539,0,1.03413,0.845358,0,0,0,0,29.9831,0,0,0,135817,0,0,0,0,0,0,119547,0,255364,5473.63,-127265,-83299.2,
1,1,8,8,19.6867,6.00718,7.57527,0.090477,3.37537,0,0.913737,0.111402,0,0,0,0,37.7601,0,0,0,32781.1,0,0,0,0,0,0,176018,0,208799,6452.88,-4211.6,-124536,
1,1,9,8,22.3694,4.57644,7.64863,0.0831135,4.02734,0,0.913737,0.234912,0,0,0,0,39.8536,0,0,0,30063,0,0,0,0,0,0,259598,0,289661,16212.4,-7955.73,-185568,
1,1,10,8,18.2234,4.31149,6.19367,0.0847447,6.42231,0,0.913737,0.563456,0,0,0,0,36.7128,0,0,0,30664.3,0,0,0,0,0,0,203154,0,233819,49971.6,-7616.02,-144330,
1,1,11,8,18.2234,4.31149,6.27341,0.0780701,8.34291,0,0.913737,0.706178,0,0,0,0,38.8492,0,0,0,28206.8,0,0,0,0,0,0,146654,0,174861,68175.1,-3980.4,-103093,
1,1,12,8,18.2234,2.88075,6.30531,0,10.8937,0,0.960248,0.8945,0,0,0,0,40.1579,0,0,0,0,0,0,0,0,0,0,146638,0,146638,93606.9,-44.8471,-103093,
1,1,13,8,15.5407,2.88075,6.32764,0,13.9481,0,1.03104,1.20676,0,0,0,0,40.9349,0,0,0,0,0,0,0,0,0,0,146610,0,146610,128253,0,-103093,
1,1,14,8,8.46812,1.92692,4.70379,0,14.948,0,1.03958,1.24913,0,0,0,0,32.3356,0,0,0,0,0,0,0,0,0,0,119484,0,119484,135451,0,-83299.2,
1,1,15,8,8.46812,1.92692,4.70379,0,14.4097,0,1.00199,1.27517,0,0,0,0,31.7857,0,0,0,0,0,0,0,0,0,0,90106.1,0,90106.1,136815,0,-61855.9,
1,1,16,8,8.46812,1.92692,4.70379,0,13.1557,0,0.94776,1.17768,0,0,0,0,30.38,0,0,0,0,0,0,0,0,0,0,90098.2,0,90098.2,124289,0,-61855.9,
1,1,17,8,8.46812,2.66879,4.68146,0,10.0818,0,0.929765,0.747975,0,0,0,0,27.5779,0,0,0,0,0,0,0,0,0,0,90092.9,0,90092.9,75047.1,0,-61855.9,
1,1,18,8,8.46812,3.35766,4.6719,0,6.29541,0,0.912991,0.336209,0,0,0,0,24.0423,0,0,0,0,0,0,0,0,0,0,90091.9,0,90091.9,30469.1,0,-61855.9,
1,1,19,8,20.6622,4.09953,9.43515,0.160324,11.5417,0,1.08344,1.28095,0,0,0,0,48.2634,0,0,0,57863.7,0,0,0,0,0,0,119461,0,177324,105159,-5865.07,-83299.2,
1,1,20,8,28.7103,6.00718,12.5778,0.0753753,10.6223,0,1.08743,1.06627,0,0,0,0,60.1467,0,0,0,27216.8,0,0,0,0,0,0,175943,0,203160,86995.3,-3056.95,-124536,
1,1,21,8,32.8563,6.27214,14.1569,0.0757375,8.83752,0,1.08458,0.829637,0,0,0,0,64.1129,0,0,0,27349.8,0,0,0,0,0,0,175978,0,203328,66281,-4202.26,-124536,
1,1,22,8,24.8082,7.22596,10.9505,0.0933669,6.59764,0,0.998974,0.603052,0,0,0,0,51.2778,0,0,0,33744.8,0,0,0,0,0,0,175983,0,209728,43426.3,-11625.3,-124536,
1,1,23,8,20.6622,6.96101,9.27248,0.116728,5.78308,0,1.0017,0.513132,0,0,0,0,44.3104,0,0,0,42294.2,0,0,0,0,0,0,175988,0,218282,31407.8,-22378.6,-124536,
1,1,24,8,12.6141,6.4841,6.07884,0.163864,4.45446,0,0.97607,0.467276,0,0,0,0,31.2387,0,0,0,59545.4,0,0,0,0,0,0,146625,0,206170,16720.8,-42112,-103093,
1,2,1,2,8.61378,6.9851,4.52611,0.209617,3.8527,0,0.999186,0.501395,0,0,0,0,25.6879,0,0,0,76226.1,0,0,0,0,0,0,90162.7,0,166389,10332.7,-60169.4,-61855.9,
1,2,2,2,8.61378,6.9851,4.49083,0.242067,3.60075,0,1.01393,0.562709,0,0,0,0,25.5092,0,0,0,88108.9,0,0,0,0,0,0,63063.5,0,151172,8277.89,-73981.3,-42062,
1,2,3,2,4.40343,6.74423,2.79282,0.296376,3.39101,0,1.0309,0.676778,0,0,0,0,19.3355,0,0,0,108072,0,0,0,0,0,0,33705.6,0,141777,5734.58,-97171.5,-20618.6,
1,2,4,2,4.40343,6.74423,2.79282,0.337226,3.3056,0,1.03221,0.773298,0,0,0,0,19.3888,0,0,0,123223,0,0,0,0,0,0,33708.8,0,156931,5283.31,-114504,-20618.6,
