C:\Users\vdee\Documents\eQUEST 3-65 Projects\1657 Dorm\1657 Dorms - 3
Simulated:  2024-Apr-14 21:16:21
CSV Written:  2024-Apr-14 21:16:21
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,5.89064,3.50656,3.08151,0.290486,6.55574,0,1.35101,0.436211,0,0,0,0,21.1122,0,0,0,105956,0,0,0,0,0,0,71667.3,0,177623,10662.2,-57664.5,-48975.3,
1,1,2,8,5.89064,3.50656,3.07671,0.221638,3.42206,0,1.34629,0.516605,0,0,0,0,17.9805,0,0,0,81042,0,0,0,0,0,0,50219.6,0,131262,8389.28,-65934.3,-33303.2,
1,1,3,8,3.95451,3.34625,2.09478,0.274457,3.1778,0,1.36074,0.609755,0,0,0,0,14.8183,0,0,0,100571,0,0,0,0,0,0,26975.3,0,127546,5384.92,-88024.1,-16325.1,
1,1,4,8,3.95451,3.34625,2.09478,0.294917,3.08686,0,1.36111,0.655685,0,0,0,0,14.7941,0,0,0,108250,0,0,0,0,0,0,26991.9,0,135242,5005.7,-96606.6,-16325.1,
1,1,5,8,3.95451,3.34625,2.09478,0.316875,3.05939,0,1.36115,0.710522,0,0,0,0,14.8435,0,0,0,116532,0,0,0,0,0,0,50255.3,0,166787,4710.3,-106072,-33303.2,
1,1,6,8,3.95451,3.34625,2.09478,0.352395,3.01432,0,1.36505,0.784963,0,0,0,0,14.9123,0,0,0,129877,0,0,0,0,0,0,94976.4,0,224854,4113.5,-121302,-65953.3,
1,1,7,8,5.89064,3.50656,3.07383,0.338468,3.04248,0,1.36215,0.756068,0,0,0,0,17.9702,0,0,0,124681,0,0,0,0,0,0,94994.2,0,219675,4754.04,-114541,-65953.3,
1,1,8,8,9.19344,3.63482,3.99545,0.0861573,3.10098,0,1.29169,0.0902538,0,0,0,0,21.3928,0,0,0,31239.4,0,0,0,0,0,0,139716,0,170955,5440.53,-1716.1,-98603.5,
1,1,9,8,10.4462,2.76911,4.00649,0.0716625,3.0683,0,1.29169,0.0701702,0,0,0,0,21.7237,0,0,0,25864,0,0,0,0,0,0,205923,0,231787,4699.23,-2149.67,-146926,
1,1,10,8,8.51011,2.60879,3.09879,0,4.65312,0,1.2914,0.306286,0,0,0,0,20.4685,0,0,0,0,0,0,0,0,0,0,161268,0,161268,29507.1,-404.217,-114276,
1,1,11,8,8.51011,2.60879,3.11079,0,7.52003,0,1.35559,0.59344,0,0,0,0,23.6988,0,0,0,0,0,0,0,0,0,0,116504,0,116504,60183.6,0,-81625.4,
1,1,12,8,8.51011,1.74308,3.11559,0,9.36967,0,1.34094,0.775352,0,0,0,0,24.8547,0,0,0,0,0,0,0,0,0,0,116455,0,116455,82841.4,0,-81625.4,
1,1,13,8,7.25732,1.74308,3.11895,0,10.9809,0,1.33951,0.894602,0,0,0,0,25.3344,0,0,0,0,0,0,0,0,0,0,116379,0,116379,97921.1,0,-81625.4,
1,1,14,8,3.95451,1.16594,2.14279,0,12.0598,0,1.34694,0.934813,0,0,0,0,21.6048,0,0,0,0,0,0,0,0,0,0,94841.2,0,94841.2,104439,0,-65953.3,
1,1,15,8,3.95451,1.16594,2.14279,0,12.575,0,1.45135,0.996921,0,0,0,0,22.2865,0,0,0,0,0,0,0,0,0,0,71520.9,0,71520.9,109181,0,-48975.3,
1,1,16,8,3.95451,1.16594,2.14279,0,11.6772,0,1.4398,0.983906,0,0,0,0,21.3641,0,0,0,0,0,0,0,0,0,0,71457.7,0,71457.7,105480,0,-48975.3,
1,1,17,8,3.95451,1.61483,2.13943,0,8.67042,0,1.40925,0.624838,0,0,0,0,18.4133,0,0,0,0,0,0,0,0,0,0,71413.2,0,71413.2,64088,0,-48975.3,
1,1,18,8,3.95451,2.03165,2.13799,0,5.20987,0,1.29171,0.274156,0,0,0,0,14.8999,0,0,0,0,0,0,0,0,0,0,71404.1,0,71404.1,25938.8,0,-48975.3,
1,1,19,8,9.649,2.48054,5.00714,0.197328,8.60339,0,1.44539,0.985617,0,0,0,0,28.3684,0,0,0,71852.7,0,0,0,0,0,0,94663.9,0,166517,72430.1,-24500.3,-65953.3,
1,1,20,8,13.4074,3.63482,6.9006,0.124398,7.62684,0,1.43223,0.814118,0,0,0,0,33.9404,0,0,0,45441.6,0,0,0,0,0,0,139443,0,184885,54874.3,-24305.2,-98603.5,
1,1,21,8,15.3435,3.79513,7.87005,0.130978,6.0631,0,1.3952,0.621834,0,0,0,0,35.2198,0,0,0,47735.2,0,0,0,0,0,0,139506,0,187241,37486.2,-26221.7,-98603.5,
1,1,22,8,11.5851,4.37227,5.96698,0.149585,5.01101,0,1.35534,0.539241,0,0,0,0,28.9796,0,0,0,54519.5,0,0,0,0,0,0,139553,0,194072,26224,-34958.3,-98603.5,
1,1,23,8,9.649,4.21196,4.98266,0.163839,4.51455,0,1.33698,0.505348,0,0,0,0,25.3643,0,0,0,59751.8,0,0,0,0,0,0,139596,0,199348,20919.3,-40999.7,-98603.5,
1,1,24,8,5.89064,3.92339,3.08151,0.188225,3.99846,0,1.33278,0.494079,0,0,0,0,18.9091,0,0,0,68767.8,0,0,0,0,0,0,116350,0,185117,14138.4,-51674.2,-81625.4,
1,2,1,2,4.02253,4.22653,2.14474,0.218362,3.59535,0,1.34689,0.517561,0,0,0,0,16.072,0,0,0,79809.3,0,0,0,0,0,0,71660.6,0,151470,9882.27,-63792,-48975.3,
1,2,2,2,4.02253,4.22653,2.13943,0.24085,3.36708,0,1.34727,0.5558,0,0,0,0,15.8995,0,0,0,88217.3,0,0,0,0,0,0,50211.4,0,138429,7804.95,-73973.2,-33303.2,
1,2,3,2,2.05635,4.08079,1.13776,0.273394,3.19705,0,1.3602,0.613166,0,0,0,0,12.7187,0,0,0,100182,0,0,0,0,0,0,26977.6,0,127159,5883.19,-87034.1,-16325.1,
1,2,4,2,2.05635,4.08079,1.13776,0.300416,3.11631,0,1.36095,0.676679,0,0,0,0,12.7293,0,0,0,110325,0,0,0,0,0,0,26991,0,137316,5291.15,-99155.2,-16325.1,
