C:\Users\vdee\Documents\eQUEST 3-65 Projects\1692 Dorms\1692 Dorms - 3
Simulated:  2024-Apr-14 21:31:42
CSV Written:  2024-Apr-14 21:31:42
eQUEST 3.65.7175
,,,,"Hourly Report",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"EM1 Hourly Report Block",,,,,,,,,,,,,"FM1 Hourly Report Block",,,,,,,,,,,,,"Load Hourly Report Block 3",,"DHW Hourly Report Block 4",
,,,,"ELEC-METER",,,,,,,,,,,,,"FUEL-METER",,,,,,,,,,,,,"BUILDING-HVAC                   ",,"DW-HEATER",
,,,,"EM1",,,,,,,,,,,,,"FM1",,,,,,,,,,,,,,,"DHW Plant 1 Wtr Htr (1)",
,,,Day,"Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 3","Var 4","Var 5","Var 6","Var 7","Var 8","Var 9","Var 10","Var 11","Var 12","Var 20","Var 1","Var 2","Var 1",
Month,Day,Hour,Type,"Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Lighting end-use energy","Task lighting end-use energy","Miscellaneous equipment end-use energy","Heating end-use energy","Cooling end-use energy","Heat rejection end-use energy","Auxiliary end-use energy (pumps)","Vent fan end-use energy","Refrigeration systems end-use energy","Supplemental heat pump end-use energy","Domestic hot water end-use energy","Exterior to the building end-use energy","Total end-use energy","Building cool load (coils+losses&gains) (Btu/hr)","Building heat load (coils+losses&gains) (Btu/hr)","Assigned load",
1,1,1,8,4.14279,2.59546,2.72343,0.275799,6.09165,0,0.50993,0.381769,0,0,0,0,16.7208,0,0,0,100822,0,0,0,0,0,0,40387.8,0,141209,7993.26,-51495.7,-27703.4,
1,1,2,8,4.14279,2.59546,2.70913,0.200581,2.96038,0,0.501461,0.435785,0,0,0,0,13.5456,0,0,0,73619.8,0,0,0,0,0,0,28250.4,0,101870,5479.31,-57434.4,-18838.3,
1,1,3,8,2.78114,2.4768,1.96466,0.242275,2.7097,0,0.514832,0.49409,0,0,0,0,11.1835,0,0,0,89012.1,0,0,0,0,0,0,15100.3,0,104112,2457.5,-74165.8,-9234.46,
1,1,4,8,2.78114,2.4768,1.96466,0.25712,2.59435,0,0.515071,0.524533,0,0,0,0,11.1137,0,0,0,94626.8,0,0,0,0,0,0,15103.4,0,109730,1706.28,-80761.3,-9234.46,
1,1,5,8,2.78114,2.4768,1.96466,0.277483,2.55355,0,0.520874,0.572279,0,0,0,0,11.1468,0,0,0,102170,0,0,0,0,0,0,28256.2,0,130427,1331.74,-89059.8,-18838.3,
1,1,6,8,2.78114,2.4768,1.96466,0.306495,2.51337,0,0.523364,0.635449,0,0,0,0,11.2013,0,0,0,113122,0,0,0,0,0,0,53547.5,0,166669,837.782,-101948,-37307.2,
1,1,7,8,4.14279,2.59546,2.70054,0.296003,2.52096,0,0.523187,0.609945,0,0,0,0,13.3889,0,0,0,109132,0,0,0,0,0,0,53550.2,0,162682,1124.56,-96593.6,-37307.2,
1,1,8,8,6.46559,2.69039,3.39364,0.0856626,2.51009,0,0.465546,0.0350984,0,0,0,0,15.646,0,0,0,31119.1,0,0,0,0,0,0,78841.9,0,109961,858.039,-3474.84,-55776.2,
1,1,9,8,7.34666,2.04961,3.42655,0.0753211,2.80212,0,0.465546,0.085611,0,0,0,0,16.2514,0,0,0,27238.4,0,0,0,0,0,0,116279,0,143517,5472.72,-3510.44,-83110.2,
1,1,10,8,5.98501,1.93095,2.77494,0.0736089,5.3342,0,0.487352,0.422448,0,0,0,0,17.0085,0,0,0,26599.6,0,0,0,0,0,0,91002.7,0,117602,39859.7,-2523.54,-64641.2,
1,1,11,8,5.98501,1.93095,2.8107,0.0706494,9.2511,0,0.516832,0.830032,0,0,0,0,21.3953,0,0,0,25498.1,0,0,0,0,0,0,65681.2,0,91179.3,83357.2,-1173.29,-46172.3,
1,1,12,8,5.98501,1.29018,2.82501,0,12.1267,0,0.522106,1.12382,0,0,0,0,23.8728,0,0,0,0,0,0,0,0,0,0,65668.2,0,65668.2,118681,-274.352,-46172.3,
1,1,13,8,5.10395,1.29018,2.83502,0,14.0411,0,0.525968,1.28395,0,0,0,0,25.0802,0,0,0,0,0,0,0,0,0,0,65653.9,0,65653.9,138480,0,-46172.3,
1,1,14,8,2.78114,0.862995,2.10772,0,15.3567,0,0.536104,1.348,0,0,0,0,22.9927,0,0,0,0,0,0,0,0,0,0,53501.7,0,53501.7,147496,0,-37307.2,
1,1,15,8,2.78114,0.862995,2.10772,0,14.8509,0,0.54002,1.35343,0,0,0,0,22.4962,0,0,0,0,0,0,0,0,0,0,40340.7,0,40340.7,145812,0,-27703.4,
1,1,16,8,2.78114,0.862995,2.10772,0,12.9741,0,0.532129,1.16094,0,0,0,0,20.419,0,0,0,0,0,0,0,0,0,0,40333.5,0,40333.5,122872,0,-27703.4,
1,1,17,8,2.78114,1.19525,2.09771,0,9.2999,0,0.521388,0.717828,0,0,0,0,16.6132,0,0,0,0,0,0,0,0,0,0,40331.6,0,40331.6,73393.5,0,-27703.4,
1,1,18,8,2.78114,1.50377,2.09342,0,5.56205,0,0.498035,0.317703,0,0,0,0,12.7561,0,0,0,0,0,0,0,0,0,0,40335.2,0,40335.2,30897,0,-27703.4,
1,1,19,8,6.78598,1.83602,4.22681,0.172835,8.28626,0,0.53279,0.901647,0,0,0,0,22.7423,0,0,0,62718.8,0,0,0,0,0,0,53492,0,116211,71806.4,-11300.1,-37307.2,
1,1,20,8,9.42918,2.69039,5.63433,0.106758,6.78584,0,0.512376,0.713036,0,0,0,0,25.8719,0,0,0,38819.3,0,0,0,0,0,0,78795.7,0,117615,49087.4,-16525.6,-55776.2,
1,1,21,8,10.7908,2.80905,6.3416,0.129294,5.53881,0,0.506419,0.593309,0,0,0,0,26.7093,0,0,0,47179.6,0,0,0,0,0,0,78819.4,0,125999,33767.4,-27265.7,-55776.2,
1,1,22,8,8.14763,3.23623,4.90546,0.15427,4.58119,0,0.501352,0.523014,0,0,0,0,22.0492,0,0,0,56470,0,0,0,0,0,0,78823.6,0,135294,23270.2,-37563,-55776.2,
1,1,23,8,6.78598,3.11757,4.15384,0.166271,4.02503,0,0.49981,0.479519,0,0,0,0,19.228,0,0,0,60974.2,0,0,0,0,0,0,78827.7,0,139802,17175,-42389.4,-55776.2,
1,1,24,8,4.14279,2.90398,2.72343,0.179416,3.47513,0,0.495623,0.439375,0,0,0,0,14.3597,0,0,0,65782.1,0,0,0,0,0,0,65673.6,0,131456,11039.4,-47417.5,-46172.3,
1,2,1,2,2.82898,3.12836,2.02799,0.201989,3.14019,0,0.501819,0.45231,0,0,0,0,12.2816,0,0,0,74142,0,0,0,0,0,0,40386.4,0,114528,7220.81,-57320.4,-27703.4,
1,2,2,2,2.82898,3.12836,2.01217,0.21946,2.90018,0,0.508439,0.465397,0,0,0,0,12.063,0,0,0,80563.6,0,0,0,0,0,0,28249,0,108813,4811.37,-64377.1,-18838.3,
1,2,3,2,1.44619,3.02048,1.25163,0.242483,2.71451,0,0.514506,0.502832,0,0,0,0,9.69264,0,0,0,89099.5,0,0,0,0,0,0,15101.1,0,104201,2760.96,-74326.4,-9234.46,
